name,addr,x,y
동일로(군자교),서울시 성동구 송정동 83,127.070504,37.553809
화랑로(상월곡역),서울시 성북구 하월곡동 37-7,127.044044,37.603932
동소문로(길음교사거리),서울시 성북구 돈암동 32-31,127.021693,37.599755
화랑로(화랑대역),"서울시, 노원구 공릉동 280-2",127.08295,37.619936
도봉로(쌍문역),서울시 도봉구 창동 650-46,127.033171,37.645707
동부간선도로(월계1교),서울시 노원구 월계동 247-17,127.063432,37.631579
동일로(노원역),서울시 노원구 상계동 729,127.061032,37.652409
증산로(디지털미디어시티역),서울시 은평구 증산동 199-12,126.905124,37.579684
통일로(산골고개정류장),서울시 서대문구 홍은동 137-8,126.940246,37.594931
성산로(연희IC),서울시 서대문구 연희동 341-41,126.9301,37.563506
연희로(연희IC),서울시 서대문구 연희동 187-58,126.930537,37.566264
남부순환로(화곡로입구 교차로),서울시 양천구 신월동 29-7,126.825453,37.540163
남부순환로(신월IC),서울시 양천구 신월동 838 ,126.835862,37.524081
강서로(화곡터널),서울시 강서구 화곡동 산172-2,126.845094,37.534375
공항대로(발산역),서울시 강서구 마곡동 727-1154,126.831069,37.559251
경인로(오류IC),서울시 구로구 개봉동 80-22,126.851219,37.498246
경인로(거리공원입구교차로),서울시 구로구 신도림동 435-17,126.884382,37.50644
시흥대로(시흥IC),서울시 금천구 독산동 142-7,126.898532,37.477189
영등포로(오목교),서울시 영등포구 양평동2가 20-1,126.883725,37.523175
시흥대로(구로디지털단지역),서울시 영등포구 대림동 993-57,126.904415,37.486787
국회대로(여의2교),서울시 영등포구 영등포동7가 94-411,126.910953,37.526003
경인로(서울교),서울시 영등포구 영등포동2가 97-1,126.914903,37.52019
여의대방로(여의교),서울시 영등포구 여의도동 5-7,126.928374,37.516852
양녕로(상도터널),서울시 동작구 본동 136-4,126.953469,37.511204
동작대로(총신대입구역),서울시 서초구 방배동 1255,126.982914,37.494352
문성로(난곡터널),서울시 관악구 신림동 438-44,126.924252,37.479046
남부순환로(낙성대역),서울시 관악구 봉천동 1685-32,126.962242,37.477711
남부순환로(예술의전당),서울시 서초구 방배동 1009-3,127.00445,37.476405
강남대로(강남역-신분당),서울시 강남구 역삼동 858,127.03116,37.49059
사평대로(고속터미널역),서울시 서초구 반포동 60-2,127.007779,37.503742
반포대로(서초역),서울시 서초구 서초동 산 183-3 ,127.005554,37.49624
언주로(매봉터널),서울시 강남구 도곡동 산 6-13,127.047969,37.492009
남부순환로(수서IC),서울시 강남구 일원동 3-16,127.090903,37.495912
헌릉로(세곡동사거리),서울시 강남구 세곡동 산 30-4,127.105635,37.465092
노들로(여의하류IC),서울시 영등포구 당산동 364 ,126.909281,37.529712
테헤란로(선릉역),서울시 강남구 삼성동 172-66,127.052134,37.505483
강남대로(신사역),서울시 강남구 논현동 17-5,127.020098,37.514859
백제고분로(종합운동장),서울시 송파구 잠실동 124,127.078559,37.510639
송파대로(송파역),서울시 송파구 송파동 2-15 ,127.111445,37.500537
서부간선도로(지상),서울시 영등포구 문래동6가 52,126.881826,37.520965
올림픽대로,서울시 동작구 동작동 322-3,126.97375,37.506002
강변북로,서울시 용산구 이촌동 302-131,126.973968,37.517004
내부순환로,서울시 성북구 정릉동 590-16,126.998878,37.608679
북부간선로,서울시 성북구 장위동 65-175 ,127.052577,37.608556
동부간선도로,서울시 동대문구 장안동 19-7,127.076023,37.568685
경부고속도로,서울시 서초구 서초동 1748-26 ,127.022533,37.493135
분당수서로,서울시 강남구 일원동 467-1,127.087195,37.497648
강남순환로(관악터널),서울시 금천구 시흥동 산 93-1,126.926169,37.449096
서부간선지하도로,서울시 금천구 가산동 338-10,126.883673,37.468942
신월여의지하도로,서울시 양천구 신정동 1060,126.862277,37.529318
