id,name,type,staion_num,y,x,bus_guide
122000244,수도전기공고후문,일반차로,23348.0,37.485273,127.065984,미설치  
122000245,디에이치아너힐즈,일반차로,23349.0,37.48373,127.068697,미설치  
122000246,개포자이프레지던스,일반차로,23350.0,37.483744,127.069204,미설치  
122000247,경기여고,일반차로,23351.0,37.48653,127.067244,미설치  
122000248,개포동역7번출구.개포시장,일반차로,23352.0,37.488648,127.066165,설치   
122000249,개포주공5단지경기여고,일반차로,23353.0,37.486708,127.067471,미설치  
122000250,개포동역6번출구.개포시장,일반차로,23354.0,37.488545,127.06658,설치   
122000251,개포시장.개포5단지상가,일반차로,23355.0,37.48952,127.068071,미설치  
122000252,개포시장.개포5단지상가,일반차로,23356.0,37.489313,127.068449,미설치  
122000253,양전초등학교,일반차로,23357.0,37.490243,127.070593,미설치  
122000254,개포6단지앞,일반차로,23358.0,37.489962,127.07042,미설치  
122000255,디에이치자이개포아파트,일반차로,23359.0,37.4923,127.075568,미설치  
122000256,개원중학교.대모산입구역2번출구,일반차로,23360.0,37.492262,127.072156,미설치  
122000257,개포주공7단지앞,일반차로,23361.0,37.489156,127.073811,미설치  
122000258,연금매점,일반차로,23362.0,37.488338,127.074692,미설치  
122000259,현대아파트,일반차로,23363.0,37.482265,127.052829,미설치  
122000260,개포래미안포레스트,일반차로,23364.0,37.479942,127.054609,미설치  
122000261,능인선원앞,일반차로,23365.0,37.472425,127.052254,미설치  
122000262,구룡산입구,일반차로,23366.0,37.477298,127.061771,미설치  
122000263,능인선원앞,일반차로,23367.0,37.47206,127.052327,미설치  
122000264,구룡사입구,일반차로,23368.0,37.471921,127.050751,미설치  
122000265,국악고교사거리,일반차로,23369.0,37.474527,127.048045,미설치  
122000266,삼호물산,일반차로,23370.0,37.477243,127.045252,미설치  
122000267,구룡초등학교,일반차로,23371.0,37.480754,127.053068,미설치  
122000268,광수빌딩,일반차로,23372.0,37.479061,127.049332,설치   
122000269,국민은행그린공원,일반차로,23373.0,37.47877,127.046825,설치   
122000270,포이사거리삼호물산,일반차로,23374.0,37.478438,127.045142,미설치  
122000271,포이사거리삼호물산,일반차로,23375.0,37.478285,127.045193,미설치  
122000272,국민은행그린공원,일반차로,23376.0,37.478564,127.047243,설치   
122000273,광수빌딩,일반차로,23377.0,37.478898,127.049378,미설치  
122000274,개포지구대,일반차로,23378.0,37.479445,127.051207,미설치  
122000275,구룡초등학교,일반차로,23379.0,37.480467,127.052903,설치   
122000276,수서삼성아파트앞,일반차로,23380.0,37.484399,127.090989,설치   
122000277,일원본동주민센터,일반차로,23381.0,37.483489,127.08475,미설치  
122000278,푸른마을아파트앞,일반차로,23382.0,37.482913,127.080583,미설치  
122000279,상록수아파트앞,일반차로,23383.0,37.482805,127.082122,설치   
122000280,일원본동주민센터,일반차로,23384.0,37.483383,127.085975,미설치  
122000281,수서119.안전센터앞,일반차로,23385.0,37.484246,127.093848,미설치  
122000282,삼성서울병원정문,일반차로,23386.0,37.486545,127.08299,미설치  
122000283,삼성서울병원정문건너편,일반차로,23387.0,37.487025,127.082449,미설치  
122000284,일원역,일반차로,23388.0,37.484912,127.083302,미설치  
122000285,삼성서울병원후문,일반차로,23389.0,37.4902,127.08752,설치   
122000286,삼성서울병원사거리,일반차로,23981.0,37.48884,127.0827,미설치  
122000287,일원주유소.삼성서울병원후문,일반차로,23994.0,37.490654,127.087682,미설치  
122000288,삼성서울병원사거리,일반차로,23392.0,37.489117,127.082446,미설치  
122000291,대치아파트.대모산입구역3번출구,일반차로,23395.0,37.492414,127.072487,미설치  
122000293,대청역,일반차로,23397.0,37.493243,127.078603,미설치  
122000294,수서역현대벤쳐빌,일반차로,23401.0,37.487678,127.102118,미설치  
122000295,수서역,일반차로,23402.0,37.48846,127.100681,미설치  
122000296,수서역KT수서지점,일반차로,23403.0,37.488547,127.099868,미설치  
122000297,수서역KT수서지점,일반차로,23404.0,37.487189,127.100736,미설치  
122000299,궁마을,일반차로,23406.0,37.485427,127.097328,미설치  
122000300,궁마을,일반차로,23407.0,37.485281,127.097607,설치   
122000301,수서역,일반차로,23408.0,37.486788,127.102045,미설치  
122000302,수서역5번출구,일반차로,23409.0,37.486861,127.102594,미설치  
122000303,수서역.로즈데일빌딩,일반차로,23410.0,37.487398,127.102868,설치   
122000304,세곡동주민센터,일반차로,23411.0,37.469462,127.107673,미설치  
122000305,은곡마을.LH이편한세상,일반차로,23412.0,37.465344,127.102535,미설치  
122000306,강남신동아파밀리에1단지,일반차로,23413.0,37.465433,127.099922,미설치  
122000307,대왕초등학교,일반차로,23414.0,37.464671,127.106838,미설치  
122000308,세곡동사거리,일반차로,23415.0,37.463578,127.107829,미설치  
122000309,세곡동,일반차로,23416.0,37.464611,127.109506,미설치  
122000310,광연자동차학원앞,일반차로,23417.0,37.465691,127.116361,미설치  
122000311,삼일자동차학원.강남자동차검사소,일반차로,23418.0,37.467915,127.12118,미설치  
122000312,삼일자동차학원.강남자동차검사소,일반차로,23419.0,37.467999,127.120768,미설치  
122000313,광연자동차학원앞,일반차로,23420.0,37.467023,127.118845,미설치  
122000314,세곡동,일반차로,23421.0,37.464935,127.109393,미설치  
122000315,세곡동사거리,일반차로,23422.0,37.465806,127.108547,미설치  
122000316,방죽마을,일반차로,23423.0,37.472383,127.10735,미설치  
122000317,래미안포레아파트,일반차로,23424.0,37.474548,127.106784,미설치  
122000318,쟁골마을,일반차로,23425.0,37.481887,127.105076,미설치  
122000319,쟁골마을,일반차로,23426.0,37.482655,127.104399,미설치  
122000320,래미안포레아파트,일반차로,23427.0,37.475134,127.106266,설치   
122000321,방죽마을,일반차로,23428.0,37.472225,127.10692,설치   
122000322,압구정역3번출구,일반차로,23429.0,37.526001,127.028714,설치   
122000323,국민은행압구정지점,일반차로,23430.0,37.52327,127.02851,설치   
122000324,언주역2번출구.차병원사거리,일반차로,23431.0,37.507953,127.033362,설치   
122000325,영동고교앞,일반차로,23432.0,37.521504,127.039893,미설치  
122000326,개포우성6차아파트,일반차로,23433.0,37.475732,127.057883,설치   
122000327,대치유수지체육공원,일반차로,23435.0,37.501358,127.068123,설치   
122000328,우성아파트,일반차로,23436.0,37.501145,127.06841,미설치  
122000330,삼성역3번출구,가로변시간,23438.0,37.507158,127.063711,미설치  
122000332,개포시영아파트후문,일반차로,23444.0,37.480603,127.053869,미설치  
122000333,개포우성아파트,일반차로,23445.0,37.476564,127.057864,미설치  
122000337,일원동한솔아파트,일반차로,23449.0,37.482544,127.079314,미설치  
122000338,시립수서청소년수련관,일반차로,23450.0,37.483863,127.089107,설치   
122000340,포스코사거리,일반차로,23453.0,37.50808,127.05574,미설치  
122000342,그랑프리백화점,일반차로,23456.0,37.489975,127.055608,미설치  
122000343,개포중학교,일반차로,23457.0,37.480169,127.063512,미설치  
122000344,구룡마을,일반차로,23458.0,37.478975,127.064041,미설치  
122000345,개포주공1단지아파트,일반차로,23459.0,37.478392,127.0568,미설치  
122000346,영희초등학교,일반차로,23462.0,37.491191,127.080487,미설치  
122000348,태화기독교.사회복지관,일반차로,23465.0,37.484528,127.093353,미설치  
122000349,개포도서관,일반차로,23466.0,37.483553,127.063564,미설치  
122000350,개포2단지,일반차로,23467.0,37.481642,127.06195,미설치  
122000351,도곡교회.인바디빌딩,일반차로,23468.0,37.474434,127.055459,미설치  
122000352,강남세브란스병원,일반차로,23469.0,37.493352,127.04746,미설치  
122000353,도곡교회.인바디빌딩.건너,일반차로,23470.0,37.474276,127.055993,설치   
122000355,도곡중학교.강남세브란스병원,일반차로,23472.0,37.493602,127.046722,미설치  
