apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
A13707010,래미안서초유니빌,주상복합,서울특별시 서초구 서초중앙로 26,서울,서초구,서초동,래미안서초유니빌,분양,440,삼성물산(주),20329.0,0.0,127.016979,37.4847031,5.0,1.0,12.0,3.0,22.0,1.0,1.0,0.0,5.0,32.0,15.0,0.0,5.0,3
A13804003,풍납시티극동,아파트,서울특별시 송파구 한가람로 478,서울,송파구,풍납동,씨티극동아파트,분양,442,극동건설,35287.0,448.0,127.1182132,37.5396031,4.0,1.0,1.0,6.0,9.0,1.0,1.0,1.0,12.0,7.0,3.0,4.0,5.0,3
A15205002,구로두산제2,아파트,서울특별시 구로구 도림로 59,서울,구로구,구로동,1266번지,임대,442,두산건설,12199.0,0.0,126.8889122,37.4885905,4.0,1.0,7.0,8.0,27.0,0.0,4.0,6.0,61.0,22.0,12.0,3.0,7.0,1
A13410003,강일리버파크2단지,아파트,서울특별시 강동구 아리수로97길 68,서울,강동구,강일동,668,,442,한신공영(주),39375.0,421.0,127.1766546,37.5687308,1.0,0.0,8.0,1.0,13.0,1.0,1.0,1.0,25.0,39.0,0.0,0.0,2.0,2
A13880204,가락대림아파트,아파트,서울특별시 송파구 송이로 88,서울,송파구,가락동,70-19,분양,443,1,38895.0,308.0,127.1188815,37.499639,1.0,0.0,5.0,5.0,10.0,4.0,2.0,5.0,24.0,39.0,12.0,0.0,4.0,2
A15609305,사당롯데캐슬샤인,아파트,서울특별시 동작구 사당로27길 190,서울,동작구,사당동,1132,분양,444,롯데건설,49701.0,744.0,126.9724822,37.4907263,3.0,0.0,8.0,5.0,2.0,3.0,4.0,4.0,21.0,19.0,0.0,1.0,2.0,2
A14387605,자양한양,아파트,서울특별시 광진구 구의강변로 11,서울,광진구,자양동,695번지,분양,444,(주) 한양,57845.0,492.0,127.0910116,37.5314488,2.0,0.0,0.0,4.0,6.0,0.0,4.0,4.0,6.0,8.0,1.0,0.0,1.0,2
A15809603,"벽산블루밍1단지,2단지",아파트,서울특별시 양천구 신정로13길 50,서울,양천구,신월동,1022 1023,분양,444,벽산건설(주),33271.0,451.0,126.8425224,37.513351,4.0,0.0,4.0,2.0,6.0,4.0,3.0,4.0,23.0,36.0,3.0,0.0,1.0,2
A12208204,새절역현대아파트,아파트,서울특별시 은평구 은평터널로 164,서울,은평구,신사동,359번지,분양,445,현대건설,37458.0,282.0,126.9086256,37.5935228,1.0,0.0,6.0,4.0,7.0,3.0,3.0,5.0,21.0,30.0,0.0,2.0,4.0,2
A15703301,등촌8단지주공아파트,아파트,서울특별시 강서구 공항대로43길 104,서울,강서구,등촌동,707,분양,445,주택공사,18623.0,176.0,126.8513767,37.5612871,2.0,1.0,15.0,5.0,27.0,5.0,7.0,10.0,26.0,41.0,6.0,2.0,5.0,5
A13009206,휘경동일스위트리버,아파트,서울특별시 동대문구 한천로 300,서울,동대문구,휘경동,휘경동동일스위트리버아파트,분양,445,(주)동일,36703.0,519.0,127.0686947,37.5874125,0.0,0.0,7.0,6.0,2.0,2.0,2.0,4.0,6.0,7.0,2.0,2.0,0.0,2
A15088915,롯데캐슬아이비,주상복합,서울특별시 영등포구 국제금융로 86,서울,영등포구,여의도동,43-4.,분양,445,롯데건설주식회사,63934.0,1081.0,126.9317611,37.5202096,5.0,2.0,6.0,2.0,29.0,6.0,1.0,4.0,15.0,56.0,28.0,4.0,2.0,4
A13383702,송정건영,아파트,서울특별시 성동구 동일로 263,서울,성동구,송정동,건영아파트,분양,447,건영,33701.0,453.0,127.0709815,37.5559647,3.0,0.0,4.0,6.0,1.0,1.0,3.0,4.0,17.0,10.0,5.0,0.0,4.0,2
A12119004,서강해모로,아파트,서울특별시 마포구 토정로 167,서울,마포구,창전동,443,분양,447,한진중공업,35002.0,475.0,126.9302387,37.5462183,3.0,1.0,13.0,3.0,6.0,2.0,2.0,1.0,19.0,22.0,3.0,2.0,4.0,3
A15283709,고척청구아파트,아파트,서울특별시 구로구 중앙로6길 5-15,서울,구로구,고척동,고척청구아파트,분양,448,(주)청구,34665.0,465.0,126.8638405,37.5015386,3.0,0.0,12.0,5.0,14.0,4.0,4.0,4.0,15.0,25.0,5.0,2.0,4.0,0
