Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
2658,A10024131,래미안 라클래시,아파트,서울특별시 강남구 삼성로 651,서울,강남구,삼성동,,,679,삼성물산,55530.0,1211.0,127.0481649,37.5177334,0.0,4.0,38.0,2.0,51.0,2.0,2.0,2.0,22.0,123.0,19.0,1.0,42.0,2
640,A13788002,"서초현대1,2차",아파트,서울특별시 서초구 효령로72길 14,서울,서초구,서초동,,분양,413,현대산업개발주식회사,33458.0,188.0,127.0199792,37.4909646,1.0,3.0,74.0,3.0,50.0,0.0,2.0,3.0,29.0,136.0,25.0,0.0,57.0,2
2207,B11680020,삼성동롯데캐슬킹덤,,,서울,강남구,삼성동,롯데캐슬킹덤아파트,분양,118,롯데건설,,276.0,127.0477955,37.51312227,0.0,5.0,31.0,1.0,43.0,1.0,2.0,3.0,24.0,117.0,17.0,0.0,53.0,2
714,A13509007,삼성롯데,아파트,서울특별시 강남구 학동로 432,서울,강남구,삼성동,17번지,분양,339,롯데건설,27299.0,418.0,127.0487,37.5177728,0.0,4.0,39.0,2.0,49.0,2.0,2.0,2.0,23.0,120.0,19.0,1.0,44.0,2
1808,A13772801,서초현대아파트,아파트,서울특별시 서초구 사임당로19길 10,서울,서초구,서초동,1648-2번지,분양,299,고려산업개발(주),23751.0,345.0,127.0201769,37.4909929,1.0,3.0,74.0,3.0,50.0,0.0,2.0,3.0,29.0,143.0,25.0,0.0,57.0,2
1664,A13790730,"잠원한신4지구(8차~11차,17차)",아파트,서울특별시 서초구 나루터로4길 39,서울,서초구,잠원동,60-3,분양,2640,한신공영,210495.0,200.0,127.0123844,37.5116554,1.0,2.0,38.0,5.0,31.0,0.0,3.0,3.0,39.0,90.0,12.0,4.0,46.0,2
2380,A13528008,대치효성,,서울특별시 강남구 삼성로64길 12,서울,강남구,대치동,,,83,,6190.0,86.0,127.0612091,37.49990577,0.0,1.0,37.0,3.0,36.0,0.0,3.0,4.0,31.0,1054.0,14.0,2.0,41.0,2
2203,A13585404,래미안도곡카운티,아파트,서울특별시 강남구 도곡로 320,서울,강남구,도곡동,래미안도곡카운티,분양,397,삼성물산,33275.0,510.0,127.0508531,37.49532946,1.0,3.0,44.0,4.0,52.0,1.0,3.0,4.0,26.0,520.0,21.0,2.0,54.0,2
403,A13527004,도곡삼성,아파트,서울특별시 강남구 남부순환로379길 14,서울,강남구,도곡동,161번지,분양,231,삼성건설,15515.0,219.0,127.0469594,37.4887551,1.0,3.0,46.0,3.0,24.0,1.0,1.0,4.0,16.0,58.0,17.0,0.0,20.0,2
2608,A10024552,래미안리더스원,아파트,서울특별시 서초구 서운로 62,서울,서초구,서초동,,,1317,삼성물산,117457.0,2523.0,127.028121,37.490773,2.0,1.0,76.0,5.0,52.0,0.0,2.0,3.0,27.0,152.0,29.0,0.0,84.0,2
2188,A13510009,청담래미안로이뷰,아파트,서울특별시 강남구 영동대로142길 16,서울,강남구,청담동,16,분양,177,삼성물산,19505.0,216.0,127.0428004,37.5179279,0.0,3.0,34.0,4.0,54.0,0.0,3.0,2.0,21.0,117.0,19.0,2.0,55.0,2
356,A13510203,청담래미안,아파트,서울특별시 강남구 학동로 405,서울,강남구,청담동,42번지,분양,217,삼성물산(주),20646.0,319.0,127.0427658,37.5179137,0.0,3.0,34.0,4.0,54.0,0.0,3.0,2.0,21.0,118.0,19.0,2.0,55.0,2
2563,A10024815,롯데캐슬리베아파트,아파트,서울특별시 강남구 도곡로 404,서울,강남구,대치동,,분양,144,,17437.0,270.0,127.053809,37.496298,1.0,3.0,52.0,4.0,55.0,0.0,3.0,4.0,32.0,934.0,17.0,3.0,57.0,2
2329,A10028094,압구정하이츠파크,아파트,서울특별시 강남구 압구정로42길 78,서울,강남구,신사동,,분양,86,중앙건설,17300.0,0.0,127.0336209,37.52405062,0.0,2.0,35.0,3.0,81.0,1.0,0.0,0.0,11.0,283.0,30.0,3.0,67.0,2
2278,B20161027,삼성파크아파트,,서울특별시 강남구 삼성동 126,서울특별시,강남구,삼성동,삼성파크아파트 관리사무소,분양,114,세방기업,,206.0,127.0538368,37.50923382,1.0,4.0,54.0,2.0,49.0,1.0,1.0,0.0,19.0,157.0,37.0,5.0,65.0,2
2569,A10024793,매봉삼성아파트,아파트,서울특별시 강남구 언주로 203,서울,강남구,도곡동,,분양,132,삼성중공업,9523.0,94.0,127.04872,37.489193,1.0,3.0,44.0,3.0,26.0,1.0,1.0,4.0,13.0,65.0,19.0,0.0,19.0,2
1299,A13550502,도곡삼성래미안,아파트,서울특별시 강남구 남부순환로 2803,서울,강남구,도곡동,91-5,분양,732,(주)삼성물산,71979.0,1122.0,127.0500044,37.4895947,1.0,4.0,43.0,4.0,27.0,1.0,2.0,3.0,10.0,90.0,18.0,0.0,17.0,2
1485,A13585804,역삼럭키,아파트,서울특별시 강남구 논현로 213,서울,강남구,도곡동,963,분양,1094,럭키,109509.0,1077.0,127.0398285,37.4904585,2.0,1.0,45.0,4.0,43.0,1.0,2.0,4.0,19.0,80.0,19.0,0.0,51.0,2
2559,A10024821,대치롯데캐슬아파트,,서울특별시 강남구 삼성로85길 11,서울,강남구,대치동,,분양,142,,15531.0,227.0,127.056706,37.505115,1.0,3.0,52.0,3.0,57.0,0.0,2.0,2.0,27.0,714.0,38.0,1.0,80.0,2
