전철역코드,전철역명,호선,외부코드,name,road_addr,x,y
2712,도봉산,07호선,710,도봉산역 7호선,서울 도봉구 도봉로 964-40,127.046425596353,37.6896304650032
2714,마들,07호선,712,마들역 7호선,서울 노원구 동일로 지하 1530-1,127.057712619869,37.6652017465321
2715,노원,07호선,713,노원역 7호선,서울 노원구 동일로 지하 1409,127.06055556456411,37.6545110763411
2722,상봉,07호선,720,상봉역 7호선,서울 중랑구 망우로 297,127.085754455388,37.5955853328943
2556,올림픽공원,05호선,P550,올림픽공원역 5호선,서울 송파구 양재대로 지하 1233,127.130963675401,37.5163389870117
2561,마천,05호선,P555,마천역 5호선,서울 송파구 마천로57길 지하 7,127.152859864985,37.4950381629493
2563,미사,05호선,555,미사역 5호선,경기 하남시 미사강변동로 지하 90,127.192490980441,37.562991348199
2615,연신내,06호선,614,연신내역 6호선,서울 은평구 통일로 지하 849,126.921100704496,37.6192032466353
2616,구산,06호선,615,구산역 6호선,서울 은평구 연서로 지하 137-1,126.91725947715172,37.61124669148435
2628,효창공원앞,06호선,627,효창공원앞역 6호선,서울 용산구 백범로 지하 287,126.96139810075,37.5393087503306
2716,중계,07호선,714,중계역 7호선,서울 노원구 동일로 지하 1308-1,127.06411035896,37.6450921230569
2717,하계,07호선,715,하계역 7호선,서울 노원구 동일로 지하 1196,127.067991278758,37.6364765391858
2718,공릉,07호선,716,공릉역 7호선,서울 노원구 동일로 지하 1074,127.073033585328,37.6255427648558
2720,먹골,07호선,718,먹골역 7호선,서울 중랑구 동일로 지하 901,127.077762187968,37.6106193846197
2721,중화,07호선,719,중화역 7호선,서울 중랑구 동일로 지하 797,127.079312037122,37.6025526943256
2723,면목,07호선,721,면목역 7호선,서울 중랑구 면목로 지하 407,127.087503803859,37.5887148877725
2724,사가정,07호선,722,사가정역 7호선,서울 중랑구 사가정로 지하 393,127.088504554212,37.5809403751459
2725,용마산,07호선,723,용마산역 7호선,서울 중랑구 용마산로 지하 227,127.08671982507775,37.57366797492471
2736,고속터미널,07호선,734,고속터미널역 7호선,서울 서초구 신반포로 지하 188,127.005007834609,37.5033865633062
2649,신내,06호선,648,신내역 6호선,서울 중랑구 용마산로136길 33,127.104271439503,37.6124910157349
2726,중곡,07호선,724,중곡역 7호선,서울 광진구 능동로 지하 417,127.08431236632154,37.56592206115955
2727,군자,07호선,725,군자역 7호선,서울 광진구 천호대로 지하 550,127.079844019721,37.5577765558418
2728,어린이대공원,07호선,726,어린이대공원역 7호선,서울 광진구 능동로 지하 210,127.07465525507352,37.54796087622509
2729,건대입구,07호선,727,건대입구역 7호선,서울 광진구 능동로 지하 110,127.071104284458,37.5408686005702
2730,뚝섬유원지,07호선,728,뚝섬유원지역 7호선,서울 광진구 능동로 10,127.066796230331,37.5315583755646
2731,청담,07호선,729,청담역 7호선,서울 강남구 학동로 지하 508,127.053717937903,37.519455579961
2732,강남구청,07호선,730,강남구청역 7호선,서울 강남구 학동로 지하 346,127.0413109462156,37.51721617197854
2733,학동,07호선,731,학동역 7호선,서울 강남구 학동로 지하 180,127.03190190063152,37.51434578734927
2734,논현,07호선,732,논현역 7호선,서울 강남구 학동로 지하 102,127.02165424259898,37.51120000205266
2735,반포,07호선,733,반포역 7호선,서울 서초구 신반포로 지하 241,127.011586161943,37.5081614290284
2737,내방,07호선,735,내방역 7호선,서울 서초구 서초대로 지하 103,126.993600180589,37.4876585212369
2738,이수,07호선,736,이수역 7호선,서울 동작구 사당로 지하 310,126.98167629035197,37.48528852311765
2739,남성,07호선,737,남성역 7호선,서울 동작구 사당로 지하 218,126.97091020065321,37.484793511299706
2740,숭실대입구,07호선,738,숭실대입구역 7호선,서울 동작구 상도로 지하 378,126.953621963422,37.4963172817574
2818,가락시장,08호선,817,가락시장역 8호선,서울 송파구 송파대로 지하 257,127.118262745146,37.4930992522183
2713,수락산,07호선,711,수락산역 7호선,서울 노원구 동일로 지하 1662,127.055350968781,37.6778814656816
2741,상도,07호선,739,상도역 7호선,서울 동작구 상도로 지하 272,126.947917975554,37.5028706251049
2742,장승배기,07호선,740,장승배기역 7호선,서울 동작구 상도로 지하 188,126.939072381356,37.5048990621814
2743,신대방삼거리,07호선,741,신대방삼거리역 7호선,서울 동작구 상도로 지하 76,126.92821094566965,37.499757228908564
2744,보라매,07호선,742,보라매역 7호선,서울 동작구 상도로 지하 2,126.92061230710924,37.49992085496506
2745,신풍,07호선,743,신풍역 7호선,서울 영등포구 신풍로 지하 27,126.90975434386,37.5001229935524
2820,장지,08호선,819,장지역 8호선,서울 송파구 송파대로 지하 82,127.12617656737,37.4786316933099
2821,복정,08호선,820,복정역 8호선,서울 송파구 송파대로 지하 6,127.126724009736,37.4707418689753
3119,부평시장,인천선,I119,부평시장역 인천1호선,인천 부평구 부평대로 지하 69,126.722285373949,37.4983641942962
3136,인천대입구,인천선,I136,인천대입구역 인천1호선,인천 연수구 인천타워대로 지하 155,126.639542234479,37.3862063921103
3202,왕길,인천2호선,I202,왕길역 인천2호선,인천 서구 검단로 323,126.642477372147,37.595129055954
3222,석천사거리,인천2호선,I222,석천사거리역 인천2호선,인천 남동구 구월로 지하 181,126.710422456642,37.4567884972007
4103,공항시장,09호선,903,공항시장역 9호선,서울 강서구 방화동로 지하 30,126.81060964296609,37.56368922800772
4120,동작,09호선,920,동작역 9호선,서울 동작구 현충로 지하 220,126.97854611382496,37.502744106282044
4121,구반포,09호선,921,구반포역 9호선,서울 서초구 신반포로 지하 17,126.987464905696,37.5014398319603
4307,강남,신분당선,D7,강남역 신분당선,서울 강남구 강남대로 지하 396,127.028185245594,37.4967771303817
4411,관악산,신림선,S411,관악산역 신림선,서울 관악구 신림로 23,126.94509952208,37.4690860478461
2746,대림,07호선,744,대림역 7호선,서울 영등포구 도림로 지하 137,126.896722858042,37.4928430008915
2747,남구로,07호선,745,남구로역 7호선,서울 구로구 도림로 지하 7,126.88741505160269,37.48625714438263
2748,가산디지털단지,07호선,746,가산디지털단지역 7호선,서울 금천구 벚꽃로 309,126.882661758356,37.4803959660982
2749,철산,07호선,747,철산역 7호선,경기 광명시 철산로 지하 13,126.868211027014,37.4761928424537
2750,광명사거리,07호선,748,광명사거리역 7호선,경기 광명시 오리로 지하 980,126.854873735158,37.4792983082726
2751,천왕,07호선,749,천왕역 7호선,서울 구로구 오리로 지하 1154,126.83860534807998,37.48685558277736
2752,온수,07호선,750,온수역 7호선,서울 구로구 경인로3길 지하 64,126.823847928009,37.4919675365056
2811,암사,08호선,810,암사역 8호선,서울 강동구 올림픽로 지하 776,127.12754072968517,37.55015818096496
2812,천호,08호선,811,천호역 8호선,서울 강동구 천호대로 지하 997,127.12320335921426,37.537936231906734
2813,강동구청,08호선,812,강동구청역 8호선,서울 강동구 올림픽로 지하 550,127.12044373032,37.5302111983522
2814,몽촌토성,08호선,813,몽촌토성역 8호선,서울 송파구 올림픽로 지하 383,127.11286534895457,37.5178055794687
2815,잠실,08호선,814,잠실역 8호선,서울 송파구 올림픽로 305,127.103270523629,37.5143121584933
2816,석촌,08호선,815,석촌역 8호선,서울 송파구 송파대로 지하 439,127.107004062699,37.5054141216925
2817,송파,08호선,816,송파역 8호선,서울 송파구 송파대로 지하 354,127.112193506363,37.4997149535067
2822,산성,08호선,822,산성역 8호선,경기 성남시 수정구 수정로 지하 365,127.14994186233623,37.456881468719025
2823,남한산성입구,08호선,823,남한산성입구역 8호선,경기 성남시 수정구 산성대로 지하 445,127.159882577768,37.4516686968693
2824,단대오거리,08호선,824,단대오거리역 8호선,경기 성남시 수정구 산성대로 지하 365,127.156769790167,37.44502248894697
2825,신흥,08호선,825,신흥역 8호선,경기 성남시 수정구 산성대로 지하 280,127.147538132656,37.4409230460675
2826,수진,08호선,826,수진역 8호선,경기 성남시 수정구 산성대로 지하 200,127.140534508419,37.4373779787206
2827,모란,08호선,827,모란역 8호선,경기 성남시 수정구 산성대로 지하 100,127.129970457799,37.4340382896277
2828,남위례,08호선,821,남위례역 8호선,경기 성남시 수정구 공원로 601,127.139350997519,37.4627230752808
3110,계양,인천선,I110,계양역 인천1호선,인천 계양구 다남로 24,126.73633456381877,37.571517804153075
3111,귤현,인천선,I111,귤현역 인천1호선,인천 계양구 장제로 1136,126.742679119614,37.5662988350728
3112,박촌,인천선,I112,박촌역 인천1호선,인천 계양구 장제로 지하 992,126.74506746745,37.5536612597496
