name,y,x
롯데백화점 에비뉴엘 월드타워점,37.5131008,127.1034334
롯데백화점 영등포점,37.5117953,126.8978132
롯데백화점 잠실점,37.5111034,127.0939188
롯데백화점 청량리역사점,37.5789235,127.0502677
롯데백화점(강남점),37.4970578,127.0535939
신세계백화점,37.5607989,126.9816119
신세계백화점 강남점,37.5067688,127.0088214
아이파크(I PARK)백화점,37.525279,126.9618646
주식회사 현대백화점 디큐브시티,37.5085845,126.8888977
현대백화점 무역센터점,37.5125207,127.0588194
현대백화점 미아점,37.6087366,127.0290288
현대백화점 신촌점,37.5555128,126.9362405
현대백화점 천호점,37.5385033,127.1251119
현대백화점목동점,37.5268539,126.8750349
SSG Food Market 백화점,37.5234121,127.0433302
THE HYUNDAI SEOUL,37.5260497,126.928296
(주) 이마트 창동점,37.6554248,127.045605
강남시장,37.5183123,127.0199708
광장시장,37.5699046,126.9985998
동성타워프라자,37.6111837,127.1025032
라붐아울렛,37.4808595,126.9522627
롯데마트 중계점,37.6472951,127.0702749
롯데백화점 미아점,37.6151353,127.0305527
아이에프씨몰(IFC Mall),37.5249782,126.9252984
이노시티,37.5981008,127.0905139
이마트 하월곡점,37.605052,127.0309961
이천일아울렛 중계점,37.643546,127.0659188
코엑스 몰,37.5125207,127.0588194
홈플러스(주) 익스프레스 남성점,37.4843202,126.9724636
홈플러스(주)면목점,37.5812495,127.0800199
가든파이브 툴,37.4894778,127.124298
관악프라자,37.4833634,126.9553324
굿모닝시티 쇼핑몰,37.569309,127.0088308
도심공항몰(CALT MALL),37.5095909,127.0592738
롯데아울렛 서울역점,37.5581657,126.9695878
롯데아울렛 서울역점,37.5565554,126.9709864
롯데월드몰,37.5131008,127.1034334
신동아 쇼핑센터,37.5202488,126.9811671
신동아쇼핑센터,37.5202488,126.9811671
신세계백화점메사점,37.5604432,126.9795494
아이파크몰(I PARK MALL),37.525279,126.9618646
엔씨백화점 불광점,37.609721,126.9290038
엠플라자(M plaza),37.5624994,126.9851619
연이스퀘어,37.6134375,127.0305017
유타쇼핑몰,37.5922248,127.0166991
이마트타운 월계점,37.6273402,127.0618582
코엑스 호텔아케이드,37.5125207,127.0588194
타임스퀘어,37.5180156,126.9053509
파르나스몰(PARNAS MALL),37.5144266,127.0586503
현대시티타워,37.568643,127.0077325
현대아울렛,37.4787369,126.8881257
홈플러스(주)목동점,37.5303319,126.8716551
AK PLAZA 홍대,37.5566535,126.9281262
강북 북부시장,37.6373011,127.0308775
강북종합시장,37.6428249,127.0248862
개봉프라자,37.5020155,126.851164
경동시장,37.5791626,127.039313
경창시장상인회,37.5233458,126.8465282
공덕시장,37.5451968,126.953314
금남시장,37.5485646,127.0227333
길음시장,37.6027117,127.0217672
대림쇼핑타운,37.5072943,126.9247119
대림시장,37.5867026,126.9181316
대림시장,37.5867026,126.9181316
돈암시장,37.5916568,127.0155484
동문시장,37.5704486,127.0113879
동부시장,37.5676276,127.0523096
동서시장,37.5797942,127.041519
동진시장,37.5620759,126.9271048
뚝도시장,37.5376845,127.05389
마장축산물시장,37.5695644,127.0388166
마포농수산물시장,37.566527,126.8979269
마포시장,37.5451854,126.9534338
만리시장,37.5509263,126.9638515
모래내시장(주),37.5698996,126.9154049
보광시장,37.5280054,126.999653
보문시장(주),37.5841441,127.0209691
봉천현대시장,37.4869234,126.9466726
북부시장,37.6373011,127.0308775
서교시장,37.5530858,126.9215907
서중시장,37.5712551,126.9158317
석관시장,37.6091913,127.0602942
석관황금시장,37.6094113,127.0616009
성동용답상가시장,37.5635663,127.052186
성산시장,37.560312,126.9022827
신림중앙시장,37.4832099,126.9114275
신설종합시장,37.5726683,127.020345
신수시장,37.5448072,126.9350667
신영시장상인회,37.531678,126.8343716
양지종합시장,37.5630385,127.1416234
영진시장,37.5538472,126.9129603
용두시장,37.5784036,127.02952
우성상가시장,37.522662,126.833615
우이시장,37.645987,127.0199691
이경시장,37.5946054,127.0660318
이문제일시장,37.5983229,127.0623402
이태원시장,37.5340719,126.9893573
장위전통시장,37.6107728,127.0504302
전곡시장,37.5778842,127.0685685
전농로타리시장,37.5757082,127.0553205
천호신시장,37.5421268,127.128281
합정시장,37.5474014,126.9129086
건강백화점 동의보감,37.5778101,127.0376661
뉴코아아울렛,37.5083529,127.0059798
롯데하이마트 월드타워점,37.5131008,127.1034334
롯데하이마트잠실점,37.5111158,127.098167
YZ Park 홍대점,37.5567913,126.9247069
