Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
933,A15884202,신월신안약수,아파트,서울특별시 양천구 중앙로29길 55,서울,양천구,신월동,591-1 신안약수아파트 관리사무소,분양,440,신안건설산업(주),34843.0,412.0,126.8474503,37.5165172,0.0,1.0,56.0,5.0,29.0,1.0,3.0,4.0,87.0,69.0,7.0,1.0,24.0,3
338,A13980402,공릉건영장미,아파트,서울특별시 노원구 공릉로51길 14-1,서울,노원구,공릉동,744번지 관리사무소,분양,215,0,15973.0,218.0,127.0753286,37.6292718,0.0,1.0,74.0,4.0,32.0,1.0,3.0,12.0,60.0,53.0,5.0,0.0,35.0,3
901,A15786424,염창한화꿈에그린,아파트,서울특별시 강서구 공항대로75길 17,서울,강서구,염창동,281-22번지,분양,422,한화건설,35504.0,508.0,126.8731525,37.5481893,0.0,2.0,41.0,3.0,36.0,1.0,4.0,6.0,52.0,73.0,7.0,0.0,28.0,3
1548,A13120002,면목2동한신아파트,아파트,서울특별시 중랑구 중랑천로 20,서울,중랑구,면목동,서울 중랑구 면목2동 193-1번지,분양,1362,한신공영,69997.0,524.0,127.0754781,37.5875092,0.0,0.0,55.0,5.0,23.0,0.0,3.0,6.0,46.0,36.0,2.0,0.0,38.0,3
132,A12185001,성사1차 풍림아파트,아파트,,서울,마포구,성산동,600번지,분양,172,풍림산업,13181.0,188.0,126.9124027,37.5685044,0.0,1.0,60.0,3.0,27.0,0.0,4.0,5.0,43.0,76.0,6.0,2.0,34.0,3
1408,A12007001,독립문삼호,아파트,서울특별시 서대문구 독립문로 10,서울,서대문구,영천동,삼호아파트,분양,895,삼호건설,80064.0,943.0,126.9584462,37.5703141,1.0,1.0,86.0,4.0,24.0,1.0,3.0,2.0,29.0,37.0,4.0,0.0,23.0,3
717,A15783907,한사랑2차삼성아파트(등촌동),아파트,서울특별시 강서구 공항대로59길 64,서울,강서구,등촌동,634-3,분양,339,삼성중공업(주),25629.0,351.0,126.8638745,37.5542766,0.0,2.0,52.0,3.0,32.0,2.0,4.0,5.0,52.0,82.0,9.0,0.0,32.0,3
1406,A13380803,서울숲푸르지오,아파트,서울특별시 성동구 금호로 15,서울,성동구,금호동4가,,분양,888,(주)대우건설,71398.0,1016.0,127.0221874,37.5449355,2.0,3.0,81.0,3.0,24.0,2.0,4.0,7.0,41.0,54.0,4.0,1.0,16.0,3
179,A13184401,면목삼호,아파트,서울특별시 중랑구 용마산로 259,서울,중랑구,면목동,1513번지,분양,183,(주)삼호,14913.0,168.0,127.088375,37.5763667,0.0,2.0,43.0,5.0,28.0,2.0,2.0,5.0,39.0,36.0,3.0,0.0,28.0,3
2258,A10027541,강서쌍용예가아파트,아파트,서울특별시 강서구 양천로 613,서울,강서구,염창동,강서쌍용예가아파트,분양,152,(주)쌍용건설,12456.0,191.0,126.8662612,37.55526112,0.0,2.0,48.0,3.0,33.0,2.0,4.0,5.0,48.0,95.0,8.0,0.0,30.0,3
805,A13376405,성수한진타운,아파트,서울특별시 성동구 뚝섬로 312,서울,성동구,성수동1가,"(성수동1가,한진타운아파트)",분양,378,한진건설,27117.0,286.0,127.0453053,37.541117,0.0,2.0,47.0,5.0,14.0,2.0,2.0,3.0,18.0,25.0,6.0,0.0,38.0,3
1335,A13483002,명일지에스,아파트,서울특별시 강동구 상암로51길 61,서울,강동구,명일동,,분양,772,LG건설,57750.0,819.0,127.1460609,37.5490861,0.0,2.0,59.0,3.0,34.0,1.0,4.0,8.0,64.0,154.0,7.0,1.0,30.0,3
1710,A12078704,홍제원 현대,아파트,서울특별시 서대문구 통일로34길 43,서울,서대문구,홍제동,459,분양,939,현대건설,80719.0,1130.0,126.9495987,37.5876675,0.0,2.0,70.0,3.0,35.0,1.0,3.0,7.0,35.0,43.0,4.0,0.0,20.0,3
2601,A10024581,DMC문영퀸즈파크,아파트,서울특별시 은평구 증산로13길 44-5,서울,은평구,증산동,,분양,119,문영건설,10110.0,143.0,126.907735,37.587619,0.0,2.0,53.0,5.0,21.0,1.0,3.0,4.0,50.0,56.0,1.0,0.0,37.0,3
401,A13983803,상계대림e-편한세상,아파트,서울특별시 노원구 동일로239길 68,서울,노원구,상계동,,분양,230,(주)삼호,18166.0,254.0,127.0508626,37.6748543,0.0,2.0,81.0,4.0,23.0,0.0,3.0,8.0,81.0,40.0,5.0,1.0,24.0,3
2108,A13375906,어울림더리버아파트,아파트,서울특별시 성동구 독서당로40길 37,서울,성동구,옥수동,,분양,297,금호건설,26725.0,371.0,127.0181964,37.5423084,2.0,3.0,86.0,3.0,24.0,2.0,3.0,6.0,40.0,61.0,5.0,0.0,17.0,3
1839,A13075402,래미안엘파인,아파트,서울특별시 동대문구 한천로37길 33,서울,동대문구,답십리동,1000,분양,472,삼성물산,38293.0,558.0,127.065374,37.575779,0.0,0.0,52.0,2.0,54.0,2.0,4.0,8.0,53.0,134.0,6.0,1.0,48.0,3
1228,A13881103,삼환가락,아파트,서울특별시 송파구 오금로 432,서울,송파구,가락동,176번지,분양,648,(주)삼환까뮤,62234.0,650.0,127.1367851,37.4953676,0.0,2.0,40.0,3.0,29.0,1.0,4.0,4.0,60.0,86.0,6.0,0.0,32.0,3
