name,x,y
이마트24중곡용마로점,127.0829887536236,37.5700180667261
이마트24 장안라보니타점,127.06735704322543,37.568290650375964
지에스25 아차산본점,127.0867276310152,37.55374426226182
서울동대문지역자활센터 씨유청계노벨리아,127.04215109720155,37.573844821053065
GS25 신도림태영점,126.8857385231775,37.50607659274057
씨유 정릉꿈에그린점,127.00900681501584,37.60183782329924
씨유 구로유앤미점,126.87980451269318,37.49689868840808
씨유 창동우리점,127.0375914881568,37.635516126115476
지에스25 대방승화점,126.92037342033284,37.50600254466207
씨유 수유역푸르지오시티점,127.02139115774916,37.63397344340987
씨유 남산타운정문점,127.0063903963369,37.549013573176026
세븐일레븐 서교동명점,126.91043828574601,37.55484370488404
지에스25뉴영등포샛강,126.90926555210937,37.51927491696184
세븐일레븐 자양광양점,127.08203605112375,37.528629572754944
지에스25 양평삼호점,126.8898877928196,37.52832137275185
원트 신풍역점,126.90533689577323,37.4996116281755
지에스(GS)25 뉴전농공원점,127.04892749414766,37.57804191093342
씨유 장안래미안점,127.07249741415386,37.57396429723949
씨유 용문점,126.95475749372287,37.53682414376915
지에스25 은행나무사거리점,126.90338191400542,37.45234085808511
지에스(GS)25 상도제일점,126.94811767703831,37.50728859127991
세븐일레븐 방배센터점,126.9979385754326,37.478064488759614
GS25 건대제일점,127.0636663010154,37.541839827719656
지에스25 전농샛별점,127.04821287212971,37.581847886963104
GS25 정릉준서점,127.0004042233866,37.610070906036796
씨유 이대서울장례식장점,126.83328592204286,37.55759636447645
그랜드마트,126.934537669027,37.466266793506925
지에스25 UN프리미엄점,127.0070213726679,37.532947136085454
세븐일레븐 신월나은점,126.83538218851818,37.51633953181249
씨유(CU) 천호우성점,127.12749774727797,37.54122196948535
지에스25 강서퍼스트점,126.82781142739087,37.5579383085519
㈜코리아세븐 충정골든타워점,126.96169754148774,37.5636850497928
세븐일레븐 장안한내점,127.06831171889388,37.56747144932868
지에스25(GS25) 잠실스타점,127.10919163961691,37.51659311154848
GS25 골든타워점,126.84287425846583,37.4966436658512
(주)코리아세븐 뚝섬점,127.04539383173852,37.548917834940696
GS25 뉴위례포레점,127.13512391927593,37.482536710004354
씨유 위례호수공원점,127.14372488451441,37.48387676280161
씨유뉴금호삼성점,127.02330647299726,37.54909352537188
씨유 은평증산로점,126.90895487253201,37.58944809844542
씨유공릉녹주점,127.06987810980209,37.62043976458096
세븐일레븐 화곡우정점,126.8372635304686,37.52728634574574
씨유 은평증산로점,126.90895487253201,37.58944809844542
씨유명동본점,126.98271120278282,37.56374297307758
지에스(GS25)시흥초교점,126.9010030886232,37.45550456752262
지에스(GS)25 망원스카이,126.89612407643297,37.55483546764252
씨유(CU) 뉴굽은다리점,127.13729708196061,37.54473986673946
지에스25 뉴후암사랑점,126.97485578680701,37.54801729981425
씨유금호사거리점,127.0234557619327,37.54825080235702
세븐일레븐 명일스타점,127.13953015450707,37.55170680526309
지에스(GS)25 고덕현대점,127.14930708847737,37.556517373443334
GS25 개봉푸르지오점,126.84603802399131,37.501165986936726
세븐일레븐 한강광나루1호점,127.11696038535918,37.545439958691404
지에스25(GS25) 신사성원점,127.01962718319058,37.51976283106331
주)코리아세븐 뉴강남센터점,127.02484481320336,37.49988049136593
세븐일레븐 압구정로데오본점,127.0354919063775,37.52599434365049
세븐일레븐 한강뚝섬3호점,127.06034804823796,37.53110372767377
세븐일레븐 가양9단지점,126.86064284626472,37.55872122566615
(주)코리아세븐 아이클래스청계점,127.02555882683107,37.57072762260574
지에스(GS)25용산프라임,126.96720641189975,37.54020992353698
지에스25은평시그니처점,126.90604669391622,37.604060048978525
씨유(CU) 암사진주점,127.13298035174864,37.554542917824534
씨유 미아동성점,127.02923635125605,37.62365763922149
(주)코리아세븐 논현한바위점,127.02288860382968,37.50684745193501
이마트24엔터식스한양대점,127.03730095047526,37.55648525819333
지에스(GS)25 시흥만섬점,126.89886617616332,37.45359240853124
지에스(GS)25 미아영훈점,127.02680366719056,37.61476280967735
세븐일레븐 관악행운길점,126.95715897116263,37.481180646878954
(주)코리아세븐 도곡본점,127.04182399159043,37.48470867373405
(주)비지에프리테일 타워팰리스점,127.0515490701561,37.48822320255408
씨유광진광남점,127.09830126536801,37.54196696161922
(주)코리아세븐 신이문로점,127.0607637875674,37.60328907012863
(주)현대그린푸드 서울아산병원 편의점,127.10658733800899,37.52627525839764
씨유 여의도파인루체점,126.92755876571137,37.520605449377996
씨유 종암오거리점,127.0281614954941,37.602512805321574
씨유 상도약수점,126.9414281544137,37.49905567963122
씨유 가산굴다리점,126.8795633925486,37.48445400423212
GS25 시흥대로2점,126.9008816302624,37.44052731561899
세븐일레븐 시흥은행나무점,126.90072001076375,37.451490953777956
씨유 시흥4동점,126.90675314670983,37.46231054834162
씨유 독산4동점,126.90206102702709,37.47029665691079
GS25 금천나래점,126.89945310290501,37.45788104381266
씨유 보라매타운점,126.92106191665529,37.4906911470718
세븐일레븐 시흥IC점,126.89539932246178,37.47710215137461
GS25중구약수점,127.00907661296698,37.55403079751209
(주)코리아세븐 화계역점,127.0139247335421,37.6335468999006
(주)코리아세븐 등촌예다인점,126.84808168728061,37.562775976319585
씨유 이태원 햇살점,126.98584121827994,37.53688395001874
세븐일레븐 서래나루점,126.99067957548812,37.510109222734265
씨유 박미삼거리점,126.90079515766428,37.44777944108596
씨유상명구기점,126.95531766766646,37.60629885362393
세븐일레븐 용산웰츠타워점,126.96592375229444,37.53777780226335
GS25잠실삼전로점,127.08366501465345,37.503326327849784
(주)코리아세븐 공덕래미안점,126.94929096231604,37.55073826921306
