name,y,x
아랑유치원,37.59811841,127.0766709
학여울유치원,37.63795057,127.0597995
효자유치원,37.62383436,127.0647781
우일유치원,37.52946079,127.1140542
석촌유치원,37.50287438,127.1066873
서울상지초등학교병설유치원,37.57975102,126.8820736
대진유치원,37.5621975,126.9164186
예슬유치원,37.55344749,127.12566
샛별유치원,37.49861562,127.1187575
동삼유치원,37.49699538,127.149082
로뎅유치원,37.60199828,127.0845484
원일유치원,37.53515661,126.8818744
나비유치원,37.49730566,126.8397514
조형유치원,37.448898,126.903506
준희유치원,37.49605902,126.8428296
어린이회관유치원,37.547246,127.0783044
영화유치원,37.55405299,127.0977191
육영유치원,37.4791984,127.0004908
서울고명초등학교병설유치원,37.55297253,127.1474362
서울명일유치원,37.55342092,127.1419447
신세기유치원,37.57101357,126.8465852
성보나유치원,37.5603449,127.1694812
보고유치원,37.61960009,127.0613932
빛나라유치원,37.59737377,127.032967
생명나무유치원,37.47801529,127.129361
선한유치원,37.6039839,127.0205862
서울영도초등학교병설유치원,37.53594995,126.8719426
서울정곡초등학교병설유치원,37.5769597,126.8189328
신영유치원,37.53098782,126.849228
새두산유치원,37.4898994,126.8889619
영은유치원,37.61410176,127.0910347
동그라미유치원,37.48165807,126.9793703
세희유치원,37.49154085,126.8936638
예닮유치원,37.48240478,126.9250953
은혜유치원,37.49778317,126.9332019
다솜유치원,37.65783785,127.0337873
대원유치원,37.66779471,127.0587464
보배유치원,37.62860679,127.0627968
우리유치원,37.65286745,127.0777195
초안유치원,37.63066549,127.0435045
벧엘유치원,37.56615422,126.9323073
예그린유치원,37.58613961,126.9358255
색동유치원,37.61605186,126.9142534
아이들세상유치원,37.54533003,127.0179254
사랑유치원,37.59989845,127.036313
오송유치원,37.54584975,127.1319211
서울수서초등학교병설유치원,37.49113737,127.1018578
서울인왕초등학교병설유치원,37.59021988,126.9448045
선경유치원,37.49315498,127.063
신아유치원,37.49324377,127.0791148
우정유치원,37.49390585,127.023432
강서유치원,37.54821327,126.850057
대유유치원,37.53400744,126.8615982
동연유치원,37.54887137,126.8677068
목성유치원,37.51209479,126.8602911
숭의여자대학교부설유치원,37.55785307,126.9874816
일민유치원,37.53443266,126.9501826
한아름유치원,37.59052867,127.0010753
서울휘경유치원,37.58567541,127.0579169
서울도곡초등학교병설유치원,37.49951141,127.0544655
하늘유치원,37.63218623,126.9287985
무지개영재유치원,37.52510478,126.8937407
예일유치원,37.47390966,126.9642655
반석유치원,37.54281137,127.147342
청담몬테소리유치원,37.5193542,127.046543
동인유치원,37.54359713,127.0852141
경동유치원,37.55453147,127.0261866
송곡유치원,37.56512826,127.034639
현대유치원,37.65418963,127.0139736
백상유치원,37.45350393,126.9138166
서울혜화초등학교병설유치원,37.58863443,127.0002536
