,name,x,y
0,서울,126.97825653257,37.5684232177354
1,동대문소매금융센터,127.006251379421,37.5665548575457
2,여의도,126.927376521939,37.5240914884765
3,강남대로,127.029795848706,37.4920640182968
4,잠실,127.08418616626,37.512084433428
5,리테일종합금융센터,126.917060912191,37.5522809506085
6,언택트금융센터,126.917060912191,37.5522809506085
7,서울영업부,126.973833846114,37.5616563798295
8,여의도,126.923800744264,37.5236263907411
9,강남,127.063532101209,37.5070012666657
10,마곡,126.832686373319,37.5596003426585
11,서울영업부,126.982247152887,37.5669858059331
12,강남,127.041887563067,37.5019526807087
13,삼성동,127.053383426803,37.5062489042304
14,잠실,127.08418616626,37.512084433428
15,논현,127.020539169585,37.5117737805731
16,대치동,127.061334443036,37.4939940652114
17,자양동,127.082929453948,37.5392947704506
18,청량리,127.04179615724,37.5787296170106
19,여의도,126.926030690974,37.5240626320895
20,수도권금융센터,126.927731741938,37.5243213718368
21,화곡동,126.837581836675,37.5405665780291
22,서초동,127.013036802702,37.4931741239317
23,길동,127.139588829365,37.5375121901099
24,마곡,126.834893863585,37.5584038640061
25,양재,127.032948199613,37.4847921379029
26,한남PB센터,127.001133061453,37.5384987479277
27,서울숲PB센터,127.043357753557,37.5441547484979
28,홍대입구역환전센터(점),126.926498328277,37.5577458058734
29,송파헬리오시티,127.102531804188,37.4976145695004
30,KB InsighT,126.916930544113,37.5270870121653
31,삼성동PB센터,127.060579419429,37.5075910839105
32,동국대학교(점),126.998737605491,37.5589366401553
33,광진구청,127.081909826352,37.5385316143438
34,노원구청,127.056268317802,37.6545228397157
35,명동(점),126.983858910559,37.5647312946952
36,강북삼성병원(점),126.967812703696,37.5688677261045
37,서울의대(점),127.001141181595,37.5812861026278
38,중앙보훈병원(점),127.147925555901,37.5284637471127
39,문정법조,127.119226534642,37.4853545765742
40,동양미래대(점),126.868169656727,37.4999957879198
41,대기업금융2센터,127.032167924402,37.4900614477694
42,서울역환전센터(점),126.970484281315,37.549118478341
43,KCC(점),127.020802535605,37.5029945221484
44,가재울뉴타운,126.907916083955,37.5747334832097
45,우면동,127.024997566281,37.464057071815
46,세종대,127.073397180648,37.5481383507441
47,가산라이온스밸리,126.88263620024,37.479966429878
48,가산벤처,126.888086110324,37.467610225193
49,반포역,127.011935946175,37.5086202759588
50,왕십리역,127.038394194396,37.5614417528647
51,마곡역,126.828637182941,37.5590423146669
52,도곡,127.053214137263,37.4887462103566
53,양재PB센터,127.034949554107,37.4827666361943
54,구파발역,126.919081540985,37.6386515578411
55,강남스타PB센터,127.036508620542,37.5000242405515
56,봉화산역,127.092668240549,37.6163496295774
57,삼성타운,127.026124216979,37.4959587692716
58,서울대입구역,126.952984762396,37.4802159296703
59,상암DMC,126.88838954354,37.5808876335017
60,스타시티PB센터,127.070921773952,37.5383625791299
61,잠실롯데PB센터,127.098141751177,37.5113096112036
62,까치산역,126.846734512832,37.5322065422689
63,영등포하이테크,126.897536835727,37.5147464245043
64,가산IT,126.881057813165,37.4772339836706
65,도곡렉슬,127.052720025644,37.4953648706654
66,가산디지털,126.884121140151,37.4803938924495
67,봉은사역,127.060483947525,37.5147215906749
68,명동스타PB센터,126.983681840765,37.5664928978912
69,청담스타PB센터,127.04240393602,37.5269289539938
70,올림픽PB센터,127.131063164753,37.5157276361757
71,수락산역,127.054886397111,37.6803078379984
72,목동PB센터,126.879037442651,37.5357386669184
73,방배PB센터,126.992064156203,37.4936428301074
74,신도봉,127.047064658894,37.6680283468222
75,수서역,127.103108072457,37.4873191631489
76,여의도리버타워(점),126.938610362668,37.5194206669589
77,강남구청역,127.040619500921,37.5174807661856
78,서초PB센터,127.017784223706,37.4956074849009
79,이촌PB센터,126.96985513634,37.5208962732342
80,화곡역,126.83947141915,37.542166182348
81,낙성대역,126.963144853114,37.4768185857401
82,대청역,127.079647753194,37.494341198165
83,일원역,127.083524202025,37.4857363331786
84,건대역,127.067200569311,37.5413780592943
85,도곡스타PB센터,127.053214137263,37.4887462103566
86,KB GOLD&WISE the FIRST 센터,127.032965732098,37.5262190026659
87,디지털밸리,126.894103271526,37.4839543151881
88,무역센터,127.058597240146,37.5102336492314
89,신도림,126.887986372819,37.5096619486431
90,한남동,127.006105240256,37.53451419095
91,광화문역,126.974415113084,37.5713696938344
92,오장동,127.002874834523,37.5644110678081
93,목동중앙,126.876008647904,37.5291435349019
94,가산테크노타운,126.877464812011,37.4852607302207
95,강남역,127.032045172427,37.4996994615351
96,선릉역,127.051257506779,37.5047638179859
97,신도림역,126.892135860271,37.5063356980857
98,서여의도영업부,126.918653970253,37.5286528912109
99,잠실새내역,127.081962651177,37.5114258315489
100,압구정역,127.027225573139,37.5262627223873
101,동여의도,126.930836281461,37.5211195361581
102,영등포,126.904294169383,37.5196804001431
103,서린동,126.982179278549,37.5696679696981
104,명동역,126.986361886176,37.5612833166249
105,증권타운,126.926510839185,37.5235586408446
106,강남중앙,127.027830562268,37.4987767279505
107,용답동,127.055131191391,37.5644063396101
108,성수역,127.053396529394,37.5462223931577
109,서초역,127.008214298212,37.4899816577055
110,학동역,127.03054130783,37.5135684003677
111,구로벤처,126.898223123534,37.485472620638
112,청담영동,127.056460869043,37.5221876728793
113,동아미디어,126.978020308327,37.5695464451533
114,광장동,127.104135787897,37.5456165037696
115,교대역,127.01269448384,37.493678364798
116,발산역,126.838304106686,37.5600926354663
117,굽은다리역,127.142086067175,37.5443634727703
118,수유역,127.02383520999,37.6356640949861
119,길동,127.138537223096,37.5349294508496
120,은평로,126.924094162375,37.6010773100086
